"aIdstao"	"aIdbeob"	"Jahr"	"natural_artifical_surfaces"	"mobile_blocks"	"coarse_inorganic_sediments"	"gravel"	"sand_silt"	"fine_sediments"	"coarse_organic_matter"	"moss"	"hydrophytes"	"helophytes"	"algae_clay"	"error"	"v_150"	"v_25_75"	"v_5"	"v_5_25"	"v_75_150"	"flow error"	"MonitoringProgram"
560139	5601391	2012	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0.25	0.125	0.375	0.25	0	"0"	"BDM"
560179	5601791	2012	0.125	0	0.125	0.25	0.125	0.125	0.25	0	0	0	0	NA	0.125	0.625	0.25	0	0	"0"	"BDM"
572107	5721071	2012	0	0	0	0	0	0.5	0.125	0	0.125	0.125	0.125	NA	0	0.5	0.5	0	0	"0"	"BDM"
578251	5782511	2012	0	0	0.25	0.25	0	0	0.25	0	0	0	0.25	NA	0.375	0.5	0.125	0	0	"0"	"BDM"
584195	5841951	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"BDM"
590219	5902191	2012	0	0	0	0.125	0	0.25	0.25	0	0.25	0.125	0	NA	0.375	0.625	0	0	0	"0"	"BDM"
620219	6202191	2012	0	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0.125	0	NA	0.375	0.25	0.375	0	0	"0"	"BDM"
620259	6202591	2012	0	0.375	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
632227	6322271	2012	0.25	0.25	0.25	0.125	0.125	0	0	0	0	0	0	NA	0.125	0.375	0.375	0.125	0	"0"	"BDM"
638251	6382511	2012	0	0.25	0.125	0.125	0	0.125	0.125	0.25	0	0	0	NA	0.125	0.375	0.375	0.125	0	"0"	"BDM"
644235	6442351	2012	0.25	0	0.25	0	0.125	0.125	0.25	0	0	0	0	NA	0.625	0.375	0	0	0	"0"	"BDM"
668251	6682511	2012	0	0.25	0.375	0.125	0	0	0.25	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
674235	6742351	2012	0.125	0.25	0.125	0.125	0	0	0.125	0	0	0.125	0.125	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
680259	6802591	2012	0.125	0.25	0.125	0	0	0.125	0	0	0.375	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
686243	6862431	2012	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
698251	6982511	2012	0	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0.125	NA	0	0.25	0.75	0	0	"0"	"BDM"
704235	7042351	2012	0.125	0.125	0.125	0.125	0.25	0	0.25	0	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
704275	7042751	2012	0	0.125	0.25	0.125	0.125	0.125	0.25	0	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
710139	7101391	2012	0	0.25	0.25	0.125	0.125	0.25	0	0	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
710259	7102591	2012	0.125	0	0.25	0.125	0	0	0	0.25	0.125	0	0.125	NA	0	0.25	0.75	0	0	"0"	"BDM"
722227	7222271	2012	0.5	0	0	0	0	0	0	0.5	0	0	0	NA	0	0.125	0.75	0.125	0	"0"	"BDM"
722267	7222671	2012	0.125	0	0.25	0.125	0.125	0.125	0.125	0	0	0	0.125	NA	0	0.375	0.5	0.125	0	"0"	"BDM"
734275	7342751	2012	0.125	0.125	0.125	0.125	0.125	0.125	0	0.125	0	0	0.125	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
752187	7521871	2012	0.25	0.25	0.25	0.125	0	0	0.125	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
752227	7522271	2012	0.625	0	0	0	0	0	0	0	0	0	0.375	NA	0	0	0.625	0.375	0	"0"	"BDM"
500139	5001391	2012	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
554155	5541551	2012	0.125	0.25	0.125	0.125	0.125	0	0	0.25	0	0	0	NA	0	0	0.75	0.25	0	"0"	"BDM"
560219	5602191	2012	0	0	0.25	0.25	0	0	0.25	0.25	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
566163	5661631	2012	0	0.375	0.125	0.125	0	0.125	0.125	0.125	0	0	0	NA	0.375	0.375	0.25	0	0	"0"	"BDM"
578171	5781711	2012	0	0.125	0.25	0.25	0.125	0	0.25	0	0	0	0	NA	0.25	0.375	0.375	0	0	"0"	"BDM"
590179	5901791	2012	0	0.25	0.125	0.125	0.125	0	0.125	0.125	0.125	0	0	NA	0.25	0.375	0.375	0	0	"0"	"BDM"
596123	5961231	2012	0.125	0	0.25	0.375	0.125	0	0.125	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
596163	5961631	2012	0.125	0.125	0.25	0.125	0.125	0	0.125	0.125	0	0	0	NA	0.25	0.5	0.25	0	0	"0"	"BDM"
620179	6201791	2012	0	0	0.375	0.25	0.125	0	0	0	0	0.25	0	NA	0.25	0.375	0.25	0.125	0	"0"	"BDM"
626203	6262031	2012	0	0.125	0.25	0.25	0.125	0	0	0.125	0	0.125	0	NA	0	0.625	0.375	0	0	"0"	"BDM"
626243	6262431	2012	0	0.25	0.25	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
638211	6382111	2012	0	0	0.25	0.25	0	0.25	0.25	0	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
644195	6441951	2012	0.125	0.25	0.25	0.25	0	0	0	0	0	0	0.125	NA	0.125	0.125	0.375	0.375	0	"0"	"BDM"
704115	7041151	2012	0	0.375	0.125	0.125	0	0	0.125	0.25	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
710099	7100991	2012	0.25	0.25	0.125	NA	0.125	NA	0.125	NA	NA	NA	NA	"substrate area= 0.875"	NA	NA	0.5	0.375	NA	"flow area= 0.875"	"BDM"
710219	7102191	2012	0	0.25	0.375	0.125	0	0.125	0	0.125	0	0	0	NA	0.375	0.375	0.25	0	0	"0"	"BDM"
716083	7160831	2012	0	0	0.5	0	0	0	0.5	0	0	0	0	NA	0	1	0	0	0	"0"	"BDM"
716243	7162431	2012	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0.375	0.5	0.125	0	"0"	"BDM"
740259	7402591	2012	0	0	0.25	0.25	0.25	0	0.25	0	0	0	0	NA	0.125	0.625	0.25	0	0	"0"	"BDM"
746243	7462431	2012	0.125	0.25	0.25	0.125	0.125	0	0	0	0	0	0.125	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
758251	7582511	2012	0.125	0.25	0.125	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
578131	5781311	2012	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
632187	6321871	2012	0	0	0.375	0.25	0.25	0.125	0	0	0	0	0	NA	0.5	0.5	0	0	0	"0"	"BDM"
656203	6562031	2012	0.125	0.125	0.125	0.125	0.125	0	0.125	0.125	0	0	0.125	NA	0	0.125	0.875	0	0	"0"	"BDM"
674195	6741951	2012	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
716123	7161231	2012	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
722107	7221071	2012	0	0.125	0.125	0.25	0	0	0.25	0.25	0	0	0	NA	0	0	0.25	0.625	0.125	"0"	"BDM"
764195	7641951	2012	0.25	0.25	0.25	0	0	0	0.125	0.125	0	0	0	NA	0	0	0.125	0.625	0.25	"0"	"BDM"
554115	5541151	2012	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
578091	5780911	2012	0.125	0.25	0.125	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.125	0.75	0.125	0	"0"	"BDM"
584155	5841551	2012	0	0.25	0.25	0.25	0	0	0.25	0	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
590139	5901391	2012	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
602107	6021071	2012	0.125	0.375	0.25	0.125	0.125	0	0	0	0	0	0	NA	0	0	0.25	0.5	0.25	"0"	"BDM"
608171	6081711	2012	0.125	0.25	0.125	0.125	0.125	0	0	0.25	0	0	0	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
626123	6261231	2012	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
626163	6261631	2012	0.25	0.25	0.25	0	0	0	0.25	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
638131	6381311	2012	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
686163	6861631	2012	0.25	0.25	0.25	0	0.25	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
698211	6982111	2012	0.125	0.125	0.25	0.25	0	0	0.25	0	0	0	0	NA	0.125	0.25	0.5	0.125	0	"0"	"BDM"
704195	7041951	2012	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
710179	7101791	2012	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
722147	7221471	2012	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0.125	0.25	0.375	0.25	0	"0"	"BDM"
770139	7701391	2012	0.25	0.5	0	0.25	0	0	0	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
776203	7762031	2012	0.125	0.25	0.25	0	0	0	0.25	0.125	0	0	0	NA	0	0	0.375	0.5	0.125	"0"	"BDM"
590099	5900991	2012	0.125	0.25	0.25	0.125	0	0	0	0.25	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
644115	6441151	2012	0.25	0.25	0.25	0	0.25	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
650139	6501391	2012	0.125	0.25	0	0.125	0	0	0.25	0.25	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
674155	6741551	2012	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
680139	6801391	2012	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0.125	0.125	0.375	0.375	0	"0"	"BDM"
680179	6801791	2012	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
686123	6861231	2012	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
716163	7161631	2012	0	0.25	0.25	0.125	0.125	0	0	0.25	0	0	0	NA	0.125	0.25	0.625	0	0	"0"	"BDM"
722187	7221871	2012	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
734155	7341551	2012	0.25	0.25	0.25	0.125	0	0	0	0.125	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
746163	7461631	2012	0.125	0.25	0.25	0	0	0	0	0.25	0	0	0.125	NA	0	0	0.625	0.375	0	"0"	"BDM"
746203	7462031	2012	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.125	0.375	0.375	"0"	"BDM"
770179	7701791	2012	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.125	0.25	0.375	0.25	"0"	"BDM"
782147	7821471	2012	0.375	0.375	0.25	0	0	0	0	0	0	0	0	NA	0	0	0.375	0.375	0.25	"0"	"BDM"
782187	7821871	2012	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
788171	7881711	2012	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
800139	8001391	2012	0	0.375	0.25	0	0	0	0	0.375	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
800179	8001791	2012	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	NA	0	0	0.125	0.5	0.375	"0"	"BDM"
818171	8181711	2012	0.5	0.125	0.125	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
824195	8241951	2012	0.125	0.625	0.25	0	0	0	0	0	0	0	0	NA	0	0	0.375	0.5	0.125	"0"	"BDM"
506139	5061391	2013	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0	0.5	0.375	0.125	0	"0"	"BDM"
518147	5181471	2013	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
530155	5301551	2013	0	0.125	0.25	0.125	0.125	0.125	0.25	0	0	0	0	NA	0.375	0.125	0.25	0.25	0	"0"	"BDM"
524171	5241711	2013	0	0.25	0.125	0.125	0.125	0	0.125	0.25	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
536179	5361791	2013	0.25	0	0	0	0.25	0.25	0.25	0	0	0	0	NA	0	0.875	0.125	0	0	"0"	"BDM"
548147	5481471	2013	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0.125	0.125	0.625	0.125	0	"0"	"BDM"
554131	5541311	2013	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0	0.125	0.75	0.125	0	"0"	"BDM"
554171	5541711	2013	0.125	0.25	0.125	0	0.125	0	0.125	0.125	0.125	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
560155	5601551	2013	0	0	0.25	0.25	0.125	0	0.25	0	0.125	0	0	NA	0.125	0.625	0.25	0	0	"0"	"BDM"
566139	5661391	2013	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
566179	5661791	2013	0	0.25	0.125	0.125	0.125	0.125	0.25	0	0	0	0	NA	0	0.5	0.5	0	0	"0"	"BDM"
566219	5662191	2013	0	0	0.25	0.25	0	0.125	0.25	0	0	0.125	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
572083	5720831	2013	0	0.25	0.125	0.125	0	0	0.25	0.25	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
572163	5721631	2013	0	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
578147	5781471	2013	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
578227	5782271	2013	0.125	0	0.25	0.25	0	0	0.25	0	0	0	0.125	NA	0	0.375	0.625	0	0	"0"	"BDM"
584091	5840911	2013	0.125	0.25	0.125	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
584171	5841711	2013	0.125	0	0.25	0.25	0.125	0	0.25	0	0	0	0	NA	0.25	0.375	0.375	0	0	"0"	"BDM"
584251	5842511	2013	0.125	0.25	0.375	0.25	0	0	0	0	0	0	0	NA	1	0	0	0	0	"0"	"BDM"
590115	5901151	2013	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
590155	5901551	2013	0.125	0.25	0.125	0.125	0.125	0	0.125	0.125	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
596099	5960991	2013	0.125	0.375	0.375	0.125	0	0	0	0	0	0	0	NA	0	0	0.875	0.125	0	"0"	"BDM"
596139	5961391	2013	0	0	0.375	0.375	0	0	0	0	0	0.25	0	NA	0.5	0.5	0	0	0	"0"	"BDM"
590195	5901951	2013	0	0	0.25	0.25	0.125	0	0.375	0	0	0	0	NA	0.375	0.375	0.25	0	0	"0"	"BDM"
590235	5902351	2013	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0.125	0.125	0.625	0.125	0	"0"	"BDM"
596179	5961791	2013	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0.125	0.125	0.5	0.25	0	"0"	"BDM"
602123	6021231	2013	0.125	0	0.25	0	0	0.125	0.125	0	0.25	0	0.125	NA	0	1	0	0	0	"0"	"BDM"
602147	6021471	2013	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0.125	0.125	0.375	0.375	0	"0"	"BDM"
602203	6022031	2013	0	0	0	0	0	0	0	0.5	0	0	0.5	NA	0	0	0.25	0.375	0.375	"0"	"BDM"
602243	6022431	2013	0.25	0.25	0.125	0.125	0	0	0	0.25	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
608131	6081311	2013	0.125	0.375	0.25	0.125	0.125	0	0	0	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
608147	6081471	2013	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0.125	0.125	0.375	0.375	0	"0"	"BDM"
608227	6082271	2013	0	0	0	0	0	0.25	0.5	0	0	0.25	0	NA	0.5	0.5	0	0	0	"0"	"BDM"
608267	6082671	2013	0.125	0	0	0.25	0.125	0.125	0.375	0	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
614131	6141311	2013	0.125	0.25	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0.125	0.125	0.375	0.375	0	"0"	"BDM"
614171	6141711	2013	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0.125	0.125	0.5	0.25	0	"0"	"BDM"
614211	6142111	2013	0.375	0.25	0	0	0	0	0	0.375	0	0	0	NA	0.125	0.25	0.125	0.375	0.125	"0"	"BDM"
620115	6201151	2013	0.125	0.25	0.125	0.125	0.125	0	0	0.125	0	0	0.125	NA	0	0	0.875	0.125	0	"0"	"BDM"
620195	6201951	2013	0	0	0.25	0.25	0.25	0	0.25	0	0	0	0	NA	0.125	0.5	0.375	0	0	"0"	"BDM"
620235	6202351	2013	0.25	0	0.125	0	0.125	0	0.25	0	0.25	0	0	NA	0.625	0.375	0	0	0	"0"	"BDM"
626139	6261391	2013	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0	NA	0.125	0.25	0.375	0.25	0	"0"	"BDM"
626179	6261791	2013	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
626219	6262191	2013	0	0.375	0.25	0.125	0	0	0	0.25	0	0	0	NA	0.125	0.5	0.25	0.125	0	"0"	"BDM"
632123	6321231	2013	0.125	0.25	0.125	0.125	0	0.125	0.25	0	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
632203	6322031	2013	0	0	0.375	0.25	0	0.25	0.125	0	0	0	0	NA	0.375	0.625	0	0	0	"0"	"BDM"
638107	6381071	2013	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
638187	6381871	2013	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0.125	0.25	0.25	0.375	0	"0"	"BDM"
644131	6441311	2013	0.5	0	0	0	0.5	0	0	0	0	0	0	NA	0.25	0.25	0.375	0.125	0	"0"	"BDM"
644171	6441711	2013	0.375	0	0.375	0	0	0	0.25	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
644211	6442111	2013	0	0	0.375	0.25	0.125	0	0.125	0.125	0	0	0	NA	0.375	0.25	0.375	0	0	"0"	"BDM"
650115	6501151	2013	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
650195	6501951	2013	0	0.375	0.25	0.125	0.125	0	0	0.125	0	0	0	NA	0	0.25	0.25	0.375	0.125	"0"	"BDM"
650235	6502351	2013	0.125	0.25	0.25	0	0.125	0	0.125	0.125	0	0	0	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
656139	6561391	2013	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
656219	6562191	2013	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	0.125	NA	0	0.125	0.875	0	0	"0"	"BDM"
656259	6562591	2013	0	0	0	0	0	0.5	0.5	0	0	0	0	NA	0.5	0.5	0	0	0	"0"	"BDM"
668147	6681471	2013	0.125	0.25	0.125	0	0	0	0.25	0.25	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
668267	6682671	2013	0	0.375	0.25	0.125	0.125	0	0.125	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
680155	6801551	2013	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
686179	6861791	2013	0.125	0.375	0.375	0	0.125	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
686219	6862191	2013	0	0	0.25	0.125	0.25	0.125	0.125	0.125	0	0	0	NA	0.375	0.625	0	0	0	"0"	"BDM"
692163	6921631	2013	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
692243	6922431	2013	0.125	0.25	0.125	0.125	0	0	0.125	0.125	0	0	0.125	NA	0	0	0.875	0.125	0	"0"	"BDM"
698107	6981071	2013	0.25	0.25	0.25	0.125	0	0	0	0.125	0	0	0	NA	0	0.375	0.5	0.125	0	"0"	"BDM"
698147	6981471	2013	0.125	0.25	0.25	0	0.125	0	0	0.25	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
698227	6982271	2013	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
704131	7041311	2013	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
704211	7042111	2013	0.25	0.375	0	0	0	0	0	0.375	0	0	0	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
704251	7042511	2013	0.125	0.25	0.125	0.125	0	0	0.125	0.125	0	0	0.125	NA	0	0	0.875	0.125	0	"0"	"BDM"
710115	7101151	2013	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
710235	7102351	2013	0.125	0.25	0.25	0.125	0.125	0	0	0	0	0	0.125	NA	0.25	0.375	0.375	0	0	"0"	"BDM"
716099	7160991	2013	0	0.25	0.125	0.125	0	0.125	0.125	0.25	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
716219	7162191	2013	0.125	0.25	0.25	0.125	0	0	0.25	0	0	0	0	NA	0	0	0.75	0.25	0	"0"	"BDM"
722083	7220831	2013	0.125	0.125	0	0.375	0	0	0.25	0.125	0	0	0	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
722123	7221231	2013	0.125	0.125	0.125	0.125	0.125	0	0.125	0.25	0	0	0	NA	0	0	0.875	0.125	0	"0"	"BDM"
722163	7221631	2013	0.375	0.25	0.375	0	0	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
722203	7222031	2013	0.5	0.25	0.25	0	0	0	0	0	0	0	0	NA	0	0.375	0.5	0.125	0	"0"	"BDM"
722243	7222431	2013	0	0	0.25	0.25	0.125	0	0	0.25	0	0	0.125	NA	0.125	0.375	0.5	0	0	"0"	"BDM"
728187	7281871	2013	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.125	0.5	0.375	0	"0"	"BDM"
728267	7282671	2013	0	0	0	0	0	0.125	0.25	0	0.25	0.25	0.125	NA	0.5	0.5	0	0	0	"0"	"BDM"
734211	7342111	2013	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	NA	0	0	0.625	0.25	0.125	"0"	"BDM"
734251	7342511	2013	0	0.375	0.375	0	0.25	0	0	0	0	0	0	NA	0	0.5	0.25	0.25	0	"0"	"BDM"
740155	7401551	2013	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0	0.125	0.375	0.5	0	"0"	"BDM"
740195	7401951	2013	0.25	0.375	0.375	0	0	0	0	0	0	0	0	NA	0	0.25	0.375	0.375	0	"0"	"BDM"
740235	7402351	2013	0.25	0.25	0.25	0	0	0	0.25	0	0	0	0	NA	0	0.125	0.625	0.25	0	"0"	"BDM"
746219	7462191	2013	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.25	0.5	0.25	0	"0"	"BDM"
752163	7521631	2013	0.25	0	0	0	0.25	0	0.25	0.25	0	0	0	NA	0	0	1	0	0	"0"	"BDM"
752203	7522031	2013	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0.25	0.625	0.125	0	"0"	"BDM"
758187	7581871	2013	0.25	0	0.125	0	0	0	0.25	0.25	0	0	0.125	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
764131	7641311	2013	0.25	0.25	0.25	0	0.25	0	0	0	0	0	0	NA	0.125	0.125	0.375	0.375	0	"0"	"BDM"
764211	7642111	2013	0.125	0.25	0.25	0.125	0	0	0	0.25	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
764251	7642511	2013	0	0.25	0.25	0	0.25	0	0	0	0	0.25	0	NA	0.25	0.375	0.125	0.25	0	"0"	"BDM"
770195	7701951	2013	0.125	0.25	0.25	0.25	0.125	0	0	0	0	0	0	NA	0	0	0.625	0.375	0	"0"	"BDM"
776179	7761791	2013	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
794171	7941711	2013	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	NA	0	0	0.5	0.5	0	"0"	"BDM"
818187	8181871	2013	0.25	0.375	0.25	0.125	0	0	0	0	0	0	0	NA	0	0	0.5	0.375	0.125	"0"	"BDM"
824171	8241711	2013	0	0.375	0.375	0	0.25	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
830195	8301951	2013	0.125	0.375	0.25	0.125	0.125	0	0	0	0	0	0	NA	0	0.375	0.375	0.25	0	"0"	"BDM"
530171	5301711	2014	0	0	0.25	0.25	0.125	0.125	0.25	0	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
536155	5361551	2014	0.125	0.25	0.125	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
536195	5361951	2014	0.125	0	0.25	0.25	0	0.125	0.25	0	0	0	0	NA	0.375	0.625	0	0	0	"0"	"BDM"
542179	5421791	2014	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
548163	5481631	2014	0.125	0	0.125	0.375	0.125	0.125	0.125	0	0	0	0	NA	0.125	0.25	0.625	0	0	"0"	"BDM"
554147	5541471	2014	0.125	0.25	0.125	0	0.125	0.125	0.25	0	0	0	0	NA	0	0.375	0.625	0	0	"0"	"BDM"
554187	5541871	2014	0.125	0.125	0.125	0	0.125	0.125	0.25	0.125	0	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
560131	5601311	2014	0.125	0.125	0.125	0.125	0.125	0.125	0	0.125	0.125	0	0	NA	0	0.25	0.75	0	0	"0"	"BDM"
